INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0222', '05-Jan-2023', '1126', '1200', '1400', '420', '3020', 'PAID', '23T0222', '23R0222');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0247', '14-Jan-2023', '2024', '5000', '840', '240', '6080', 'PAID', '23T0247', '23R0247');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0264', '19-Jan-2023', '2105', '700', '560', '160', '1420', 'PAID', '23T0264', '23R0264');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0268', '26-Jan-2023', '0358', '1200', '1400', '420', '3020', 'CANCELLED', '23T0268', '23R0268');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0270', '06-Feb-2023', '0655', '1200', '1160', '300', '2660', 'PAID', '23T0270', '23R0270');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0335', '11-Feb-2023', '0043', '2000', '450', '120', '2570', 'PAID', '23T0335', '23R0335');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0398', '15-Feb-2023', '0108', '2000', '1400', '500', '3900', 'CANCELLED', '23T0398', '23R0398');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0471', '16-Feb-2023', '2138', '3000', '520', '160', '3680', 'CANCELLED', '23T0471', '23R0471');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0615', '10-Mar-2023', '0831', '3000', '1960', '560', '5520', 'PAID', '23T0615', '23R0615');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0630', '10-Mar-2023', '0338', '700', '600', '180', '1480', 'CANCELLED', '23T0630', '23R0630');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0672', '31-Mar-2023', '1655', '2000', '1200', '360', '3560', 'CANCELLED', '23T0672', '23R0672');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0694', '07-Apr-2023', '0032', '3000', '1200', '320', '4520', 'CANCELLED', '23T0694', '23R0694');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0731', '09-Apr-2023', '1040', '700', '1680', '480', '2860', 'CANCELLED', '23T0731', '23R0731');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0862', '12-Apr-2023', '0316', '1200', '1160', '300', '2660', 'CANCELLED', '23T0862', '23R0862');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P0975', '22-Apr-2023', '0854', '1200', '3360', '840', '5400', 'CANCELLED', '23T0975', '23R0975');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P1216', '07-May-2023', '1640', '1200', '280', '80', '1560', 'CANCELLED', '23T1216', '23R1216');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P1234', '13-May-2023', '0439', '2000', '400', '120', '2520', 'PAID', '23T1234', '23R1234');
INSERT INTO Payment (pay_id, pay_date    , pay_time    , deposit, rental_amt, insurance_amt , pay_amt , pay_stat, receipt_no, reserv_id) VALUES ('23P1287', '17-May-2023', '2300', '700', '1680', '480', '2860', 'CANCELLED', '23T1287', '23R1287');
