INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0222', '23-Feb-2023', '7', 'COMPLETED', 'KKIA', 'KKIA', '23C0160', 'C0043');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0247', '25-Jan-2023', '2', 'COMPLETED', 'PIA', 'PIA', '23C0152', 'C0219');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0264', '26-Feb-2023', '4', 'COMPLETED', 'LGK', 'LGK', '23C0154', 'C0162');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0268', '08-Feb-2023', '3', 'CANCELLED', 'LGK', 'LGK', '23C0236', 'C0056');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0270', '08-Apr-2023', '6', 'COMPLETED', 'PIA', 'PIA', '23C0351', 'C0024');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0335', '10-Mar-2023', '4', 'COMPLETED', 'KLIA', 'KLIA', '23C0360', 'C0033');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0398', '12-Mar-2023', '6', 'CANCELLED', 'KKIA', 'KKIA', '23C0492', 'C0083');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0471', '18-Apr-2023', '2', 'CANCELLED', 'LGK', 'LGK', '23C0418', 'C0093');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0615', '05-Apr-2023', '7', 'COMPLETED', 'PIA', 'PIA', '23C0511', 'C0088');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0630', '30-Apr-2023', '2', 'CANCELLED', 'KLIA', 'KLIA', '23C0513', 'C0132');
INSERT INTO Reservation (reserv_id, start_date, rental_duration, reservation_stat, pick_location, drop_location, cust_id , car_id) VALUES ('23R0672', '10-Apr-2023', '6', 'CANCELLED', 'KKIA', 'KKIA', '23C0717', 'C0209');
